protein1 protein2 combined_score
511145.b0039 511145.b1393 168
511145.b0039 511145.b2488 241
511145.b0039 511145.b2281 241
511145.b0039 511145.b0349 241
511145.b0039 511145.b0041 378
511145.b0039 511145.b2770 378
511145.b0039 511145.b2919 168
511145.b0039 511145.b1394 198
511145.b0039 511145.b3846 310
511145.b0039 511145.b1698 384
511145.b0039 511145.b1136 151
511145.b0039 511145.b0042 384
511145.b0039 511145.b2341 310
511145.b0039 511145.b0686 277
511145.b0039 511145.b3412 250
511145.b0039 511145.b1009 277
511145.b0039 511145.b2769 384
511145.b0039 511145.b2720 241
511145.b0039 511145.b2562 241
511145.b0039 511145.b2263 250
511145.b0039 511145.b2286 420
511145.b0039 511145.b1378 241
511145.b0039 511145.b1387 298
511145.b0039 511145.b2287 199
511145.b0039 511145.b1697 378
511145.b0039 511145.b2905 227
511145.b0041 511145.b3690 264
511145.b0041 511145.b2488 224
511145.b0041 511145.b3081 761
511145.b0041 511145.b2468 256
511145.b0041 511145.b0221 378
511145.b0041 511145.b0794 457
511145.b0041 511145.b1687 224
511145.b0041 511145.b4187 378
511145.b0041 511145.b2562 224
511145.b0041 511145.b0039 378
511145.b0041 511145.b4468 224
511145.b0041 511145.b2720 224
511145.b0041 511145.b2878 799
511145.b0041 511145.b2769 597
511145.b0041 511145.b3781 157
511145.b0041 511145.b2208 353
511145.b0041 511145.b0043 264
511145.b0041 511145.b2281 224
511145.b0041 511145.b2887 256
511145.b0041 511145.b0042 646
511145.b0041 511145.b1378 224
511145.b0041 511145.b2146 256
511145.b0041 511145.b1699 264
511145.b0041 511145.b1698 600
511145.b0041 511145.b3213 256
511145.b0041 511145.b2133 224
511145.b0041 511145.b2766 264
511145.b0041 511145.b2767 314
511145.b0041 511145.b0044 314
511145.b0041 511145.b2979 224
511145.b0041 511145.b4463 224
511145.b0041 511145.b1650 282
511145.b0041 511145.b1094 151
511145.b0041 511145.b1695 378
511145.b0041 511145.b1700 314
511145.b0042 511145.b2146 199
511145.b0042 511145.b1699 214
511145.b0042 511145.b2887 199
511145.b0042 511145.b3213 199
511145.b0042 511145.b0044 314
511145.b0042 511145.b1697 600
511145.b0042 511145.b2767 314
511145.b0042 511145.b3418 256
511145.b0042 511145.b2133 224
511145.b0042 511145.b2766 214
511145.b0042 511145.b1700 314
511145.b0042 511145.b1695 384
511145.b0042 511145.b1650 242
511145.b0042 511145.b1094 242
511145.b0042 511145.b2979 224
511145.b0042 511145.b4463 224
511145.b0042 511145.b0221 384
511145.b0042 511145.b3236 167
511145.b0042 511145.b2468 199
511145.b0042 511145.b2988 508
511145.b0042 511145.b3081 548
511145.b0042 511145.b3690 214
511145.b0042 511145.b4187 384
511145.b0042 511145.b1687 224
511145.b0042 511145.b2878 199
511145.b0042 511145.b2770 600
511145.b0042 511145.b3910 508
511145.b0042 511145.b4468 224
511145.b0042 511145.b0039 384
511145.b0042 511145.b0043 214
511145.b0042 511145.b0041 646
511145.b0043 511145.b2767 264
511145.b0043 511145.b1697 264
511145.b0043 511145.b2770 264
511145.b0043 511145.b0587 343
511145.b0043 511145.b0044 264
511145.b0043 511145.b2769 214
511145.b0043 511145.b0041 264
511145.b0043 511145.b1700 264
511145.b0043 511145.b0042 214
511145.b0043 511145.b1698 214
511145.b0044 511145.b3690 264
511145.b0044 511145.b2542 508
511145.b0044 511145.b0600 457
511145.b0044 511145.b0052 154
511145.b0044 511145.b0520 741
511145.b0044 511145.b2770 314
511145.b0044 511145.b2769 314
511145.b0044 511145.b0041 314
511145.b0044 511145.b0882 457
511145.b0044 511145.b0984 748
511145.b0044 511145.b0043 264
511145.b0044 511145.b0042 314
511145.b0044 511145.b2745 169
511145.b0044 511145.b1699 264
511145.b0044 511145.b1698 314
511145.b0044 511145.b0759 508
511145.b0044 511145.b2766 264
511145.b0044 511145.b1697 314
511145.b0044 511145.b3389 457
511145.b0044 511145.b3481 508
511145.b0046 511145.b0698 540
511145.b0046 511145.b4513 540
511145.b0046 511145.b0696 540
511145.b0046 511145.b0047 890
511145.b0046 511145.b3350 568
511145.b0046 511145.b1900 161
511145.b0046 511145.b0697 540
511145.b0046 511145.b0197 173
511145.b0046 511145.b3351 540
511145.b0047 511145.b3350 540
511145.b0047 511145.b1078 280
511145.b0047 511145.b0046 890
511145.b0047 511145.b0696 540
511145.b0047 511145.b1430 159
511145.b0047 511145.b0440 153
511145.b0047 511145.b1712 153
511145.b0047 511145.b4513 540
511145.b0047 511145.b0437 173
511145.b0047 511145.b0698 540
511145.b0047 511145.b0912 153
511145.b0047 511145.b4306 159
